client_id,age,revenu_annuel,montant_moyen_achat,frequence_achats_mensuelle,temps_site_minutes,taux_ouverture_emails,pct_tech,pct_vetements,pct_alimentation,pct_maison,taux_retour,anciennete_jours,nb_contacts_support,heures_achat,distance_magasin_km,pct_achats_promotion,valeur_client_lifetime,taux_abandon_panier,canal_acquisition,appareil_prefere,region,genre,jours_depuis_dernier_achat,churn,score_recence,score_frequence,score_monetaire,score_rfm
CID000000,27.483570765056164,29572.042156102227,32.36923149893847,0,1.0,0.016411212069163163,0.09133523220435655,0.17848409650737593,0.5476574347169746,0.18252323657129293,0.08589029475087219,56,0.0,10.150275767748676,0.40840544934758743,0.008451086595165842,0.0,0.017532854328330964,Search_Organic,Desktop,Centre,H,10,0,3,0,1,301
CID000001,24.308678494144075,32556.004295570776,30.897686107305205,0,2.7796097434424443,0.01962032880278072,0.23212130337997042,0.3560486039427273,0.08586342505910351,0.32596666761819876,0.006970207808020963,25,0.0,13.37338891803159,1.5037920483488207,0.10658729425445378,0.0,0.08679275323774124,Referral,Tablet,Nord,H,4,0,4,0,1,401
CID000002,28.23844269050346,30220.951511638857,5.822653394139657,1,1.0,0.0032612899335662335,0.17007105361542071,0.18431255279381276,0.6102403566700777,0.03537603692068882,0.02260530861131735,29,0.0,7.230754002229587,1.8426641628393328,0.1642602037516016,5.501329499987449,0.0691074663092186,Search_Paid,Desktop,Est,F,0,0,4,0,0,400
CID000003,32.61514928204013,35883.34437556896,14.351083837757942,1,1.0,0.07430892787096967,0.007806660794314885,0.338435354200383,0.325453710187887,0.32830427481741503,0.004931065616509785,8,0.0,8.831803799826446,3.0859817747093317,0.0453716954775828,3.80808472044958,0.06977880993568084,Search_Organic,Mobile,Nord,H,14,0,3,0,0,300
CID000004,23.829233126383322,44577.4282516953,20.77879679317863,0,2.9867708048938586,0.045687180880671065,0.051786381130937156,0.8248815522298987,0.11231640830500561,0.011015658334158678,0.027063586405619514,11,0.0,8.266498704605347,0.7309800099362704,0.027710508883462746,0.0,0.05538040084047177,Email,Mobile,Ouest,F,7,0,4,0,0,400
CID000005,23.8293152152541,28831.662742870365,94.81680751227371,0,4.193106723466771,0.0018209589066880433,0.35496960295853247,0.33549582324521693,0.19334714542716153,0.116187428369089,0.043151620691788586,5,0.0,10.574415235070328,0.08584780180945274,0.0847288265179911,0.0,0.06539594143857343,Social,Tablet,Nord,F,2,0,4,0,2,402
CID000006,32.896064077536955,43006.563982147316,15.279367452939862,0,2.8932134525571387,0.13612461560187109,0.05301091792332447,0.0919357057121041,0.4547228356228844,0.400330540741687,0.03187916613367847,21,0.0,9.684789126234195,0.4583024904522379,0.016580159516935786,0.0,0.052605915160994866,Search_Organic,Mobile,Ouest,H,0,0,4,0,0,400
CID000007,28.837173645764544,28746.6234212249,9.71877522468727,0,1.0,0.06986291478920621,0.05035733774277961,0.06913672879450837,0.5626086288661787,0.3178973045965332,0.01346422508845816,2,0.0,11.252435446190852,2.3902376227415467,0.12590656242790876,0.0,0.06272254933578432,Direct,Mobile,Nord,H,7,0,4,0,0,400
CID000008,22.65262807032524,28218.982300024927,6.999635015402263,1,1.0,0.1740834526065629,0.12679855520825348,0.02902952265974827,0.28818699421425914,0.5559849279177391,0.013093158081630247,46,0.0,12.092113994956152,1.8071511805181129,0.022923341622404933,10.592247787702227,0.10533300063260029,Social,Desktop,Sud,F,6,0,4,0,0,400
CID000009,27.712800217929825,41548.75694674571,5.62856989580488,2,1.0,0.23319949486435357,0.12467173384628899,0.12949700728667965,0.19762826301779973,0.5482029958492316,0.0034221686883453167,1,0.0,5.53805940216264,3.446443480223276,0.5462418495801773,0.37395386534315284,0.03231042014823906,Social,Mobile,Nord,F,3,0,4,1,0,410
CID000010,22.682911535937688,42375.49102406093,97.01857558533635,0,6.493504862412703,0.09499645457415953,0.141524530920923,0.28519430948451024,0.4416751908689568,0.13160596872561006,0.05296660602474485,45,0.0,10.803357568961403,1.0741452014385118,0.30388926314863357,0.0,0.01807943194331508,Search_Paid,Desktop,Centre,H,6,0,4,0,2,402
CID000011,22.671351232148716,41811.27949410123,29.183407291721043,0,1.0,0.021735467893916255,0.13706314567845698,0.1272503131583631,0.3938834218846043,0.3418031192785756,0.09793076233422594,48,0.0,8.180716671224237,1.964904371612621,0.173881852281572,0.0,0.07226090788562504,Email,Mobile,Sud,H,11,0,3,0,1,301
CID000012,26.20981135783017,24473.620734254873,10.918910785471628,2,9.950430280831533,0.09187925884983543,0.0579412235025396,0.1400061416022356,0.7279538202102697,0.07409881468495519,0.017431257885347832,54,0.0,11.407436029183959,1.4264120559796702,0.1741385630576881,38.62288956867468,0.05775778188773358,Direct,Desktop,Est,F,2,0,4,1,0,410
CID000013,18.0,31272.392175423593,62.204945998858136,6,9.16569373864422,0.006349278232304251,0.15973762917532489,0.12303165422703168,0.4494920752156257,0.2677386413820177,0.09931668705978915,57,0.0,4.88885089414921,2.932341167592176,0.1657519900469105,638.7073080161105,0.008221983578009821,Direct,Mobile,Ouest,F,12,0,3,3,2,332
CID000014,18.0,41583.90873602657,81.66329475148143,2,10.620891801989918,0.17257060254027404,0.19722683371909172,0.11749737223775035,0.610678794235088,0.07459699980807012,0.014970891128949369,44,0.0,7.129064840354512,1.1691962878282993,0.11685366147477846,235.95945253914203,0.01243872929820467,Referral,Mobile,Centre,F,11,0,3,1,2,312
CID000015,22.188562353795135,35332.33472451116,11.383121961424001,1,10.549313939549965,0.08052275989513423,0.14583411173434918,0.25813784998916617,0.5529824808598335,0.04304555741665105,0.09699610609584564,13,0.0,8.141601123350286,0.4176260617210137,0.08939342981855906,4.4542348309124336,0.009762988967959936,Email,Tablet,Est,F,10,0,3,0,0,300
